Date,Price
"Feb 06, 2018","9,810.00"
"Feb 05, 2018","10,064.50"
"Feb 02, 2018","10,211.20"
"Feb 01, 2018","10,399.00"
"Jan 31, 2018","10,451.50"
"Jan 30, 2018","10,428.20"
"Jan 29, 2018","10,555.60"
"Jan 26, 2018","10,595.40"
"Jan 25, 2018","10,595.30"
"Jan 24, 2018","10,563.00"
"Jan 23, 2018","10,609.50"
"Jan 22, 2018","10,584.00"
"Jan 19, 2018","10,479.50"
"Jan 18, 2018","10,432.70"
"Jan 17, 2018","10,474.60"
"Jan 16, 2018","10,520.40"
"Jan 15, 2018","10,467.20"
"Jan 12, 2018","10,462.40"
"Jan 11, 2018","10,435.20"
"Jan 10, 2018","10,428.30"
"Jan 09, 2018","10,426.50"
"Jan 08, 2018","10,398.40"
"Jan 05, 2018","10,411.40"
"Jan 04, 2018","10,314.40"
"Jan 03, 2018","10,116.00"
"Jan 02, 2018","10,079.10"
"Dec 29, 2017","10,043.90"
"Dec 28, 2017","10,093.10"
"Dec 27, 2017","10,165.20"
"Dec 22, 2017","10,182.00"
"Dec 21, 2017","10,304.60"
"Dec 20, 2017","10,207.70"
"Dec 19, 2017","10,234.30"
"Dec 18, 2017","10,244.10"
"Dec 15, 2017","10,150.40"
"Dec 14, 2017","10,176.50"
"Dec 13, 2017","10,260.50"
"Dec 12, 2017","10,288.30"
"Dec 11, 2017","10,306.90"
"Dec 08, 2017","10,321.10"
"Dec 07, 2017","10,262.60"
"Dec 06, 2017","10,184.00"
"Dec 05, 2017","10,211.30"
"Dec 04, 2017","10,208.60"
"Dec 01, 2017","10,085.00"
"Nov 30, 2017","10,211.00"
"Nov 29, 2017","10,267.70"
"Nov 28, 2017","10,144.40"
"Nov 27, 2017","10,063.10"
"Nov 24, 2017","10,053.50"
"Nov 23, 2017","10,032.80"
"Nov 22, 2017","10,013.90"
"Nov 21, 2017","9,993.40"
"Nov 20, 2017","10,025.50"
"Nov 17, 2017","10,010.40"
"Nov 16, 2017","10,088.70"
"Nov 15, 2017","10,013.90"
"Nov 14, 2017","9,990.40"
"Nov 13, 2017","10,049.90"
"Nov 10, 2017","10,092.70"
"Nov 09, 2017","10,141.10"
"Nov 08, 2017","10,228.70"
"Nov 07, 2017","10,230.70"
"Nov 06, 2017","10,316.50"
"Nov 03, 2017","10,357.80"
"Nov 02, 2017","10,457.80"
"Nov 01, 2017","10,506.70"
"Oct 31, 2017","10,523.50"
"Oct 30, 2017","10,446.00"
"Oct 27, 2017","10,197.50"
"Oct 26, 2017","10,347.80"
"Oct 25, 2017","10,153.30"
"Oct 24, 2017","10,205.70"
"Oct 23, 2017","10,161.40"
"Oct 20, 2017","10,222.70"
"Oct 19, 2017","10,197.50"
"Oct 18, 2017","10,273.40"
"Oct 17, 2017","10,216.80"
"Oct 16, 2017","10,181.40"
"Oct 13, 2017","10,258.00"
"Oct 12, 2017","10,275.90"
"Oct 11, 2017","10,278.40"
"Oct 10, 2017","10,142.30"
"Oct 09, 2017","10,236.00"
"Oct 06, 2017","10,185.50"
"Oct 05, 2017","10,214.70"
"Oct 04, 2017","9,964.90"
"Oct 03, 2017","10,257.50"
"Oct 02, 2017","10,255.70"
"Sep 29, 2017","10,381.50"
"Sep 28, 2017","10,328.50"
"Sep 27, 2017","10,368.90"
"Sep 26, 2017","10,189.60"
"Sep 25, 2017","10,216.50"
"Sep 22, 2017","10,305.00"
"Sep 21, 2017","10,297.00"
"Sep 20, 2017","10,292.10"
"Sep 19, 2017","10,378.40"
"Sep 18, 2017","10,338.40"
"Sep 15, 2017","10,317.40"
"Sep 14, 2017","10,361.10"
"Sep 13, 2017","10,371.00"
"Sep 12, 2017","10,336.20"
"Sep 11, 2017","10,322.60"
"Sep 08, 2017","10,129.60"
"Sep 07, 2017","10,124.90"
"Sep 06, 2017","10,131.00"
"Sep 05, 2017","10,179.80"
"Sep 04, 2017","10,243.20"
"Sep 01, 2017","10,325.50"
"Aug 31, 2017","10,299.50"
"Aug 30, 2017","10,245.80"
"Aug 29, 2017","10,192.60"
"Aug 28, 2017","10,285.90"
"Aug 25, 2017","10,345.30"
"Aug 24, 2017","10,357.40"
"Aug 23, 2017","10,338.10"
"Aug 22, 2017","10,409.80"
"Aug 21, 2017","10,360.20"
"Aug 18, 2017","10,385.70"
"Aug 17, 2017","10,443.80"
"Aug 16, 2017","10,544.30"
"Aug 15, 2017","10,481.50"
"Aug 14, 2017","10,461.20"
"Aug 11, 2017","10,282.90"
"Aug 10, 2017","10,450.00"
"Aug 09, 2017","10,596.00"
"Aug 08, 2017","10,734.70"
"Aug 07, 2017","10,676.50"
"Aug 04, 2017","10,658.40"
"Aug 03, 2017","10,549.10"
"Aug 02, 2017","10,513.90"
"Aug 01, 2017","10,586.70"
"Jul 31, 2017","10,502.20"
"Jul 28, 2017","10,536.10"
"Jul 27, 2017","10,603.40"
"Jul 26, 2017","10,575.40"
"Jul 25, 2017","10,523.40"
"Jul 24, 2017","10,446.50"
"Jul 21, 2017","10,426.60"
"Jul 20, 2017","10,564.80"
"Jul 19, 2017","10,588.10"
"Jul 18, 2017","10,524.50"
"Jul 17, 2017","10,651.20"
"Jul 14, 2017","10,655.10"
"Jul 13, 2017","10,658.30"
"Jul 12, 2017","10,560.40"
"Jul 11, 2017","10,449.10"
"Jul 10, 2017","10,509.50"
"Jul 07, 2017","10,488.80"
"Jul 06, 2017","10,498.40"
"Jul 05, 2017","10,523.60"
"Jul 04, 2017","10,566.70"
"Jul 03, 2017","10,604.20"
"Jun 30, 2017","10,444.50"
"Jun 29, 2017","10,531.10"
"Jun 28, 2017","10,702.70"
"Jun 27, 2017","10,647.90"
"Jun 26, 2017","10,696.60"
"Jun 23, 2017","10,630.80"
"Jun 22, 2017","10,709.90"
"Jun 21, 2017","10,740.70"
"Jun 20, 2017","10,746.10"
"Jun 19, 2017","10,848.90"
"Jun 16, 2017","10,759.40"
"Jun 15, 2017","10,699.60"
"Jun 14, 2017","10,775.80"
"Jun 13, 2017","10,882.10"
"Jun 12, 2017","10,842.40"
"Jun 09, 2017","10,978.30"
"Jun 08, 2017","10,953.10"
"Jun 07, 2017","10,871.70"
"Jun 06, 2017","10,879.70"
"Jun 05, 2017","10,884.70"
"Jun 02, 2017","10,905.90"
"Jun 01, 2017","10,881.00"
"May 31, 2017","10,880.00"
"May 30, 2017","10,876.90"
"May 29, 2017","10,884.00"
"May 26, 2017","10,904.20"
"May 25, 2017","10,937.70"
"May 24, 2017","10,907.40"
"May 23, 2017","10,916.30"
"May 22, 2017","10,793.40"
"May 19, 2017","10,835.40"
"May 18, 2017","10,684.90"
"May 17, 2017","10,786.10"
"May 16, 2017","10,982.40"
"May 15, 2017","10,957.80"
"May 12, 2017","10,897.00"
"May 11, 2017","10,861.40"
"May 10, 2017","11,034.80"
"May 09, 2017","11,049.20"
"May 08, 2017","11,096.30"
"May 05, 2017","11,135.40"
"May 04, 2017","11,012.90"
"May 03, 2017","10,837.00"
"May 02, 2017","10,820.30"
"Apr 28, 2017","10,715.80"
"Apr 27, 2017","10,683.90"
"Apr 26, 2017","10,763.40"
"Apr 25, 2017","10,783.10"
"Apr 24, 2017","10,766.80"
"Apr 21, 2017","10,377.00"
"Apr 20, 2017","10,372.50"
"Apr 19, 2017","10,370.30"
"Apr 18, 2017","10,264.50"
"Apr 13, 2017","10,326.10"
"Apr 12, 2017","10,360.50"
"Apr 11, 2017","10,416.30"
"Apr 10, 2017","10,437.70"
"Apr 07, 2017","10,529.00"
"Apr 06, 2017","10,518.90"
"Apr 05, 2017","10,402.70"
"Apr 04, 2017","10,361.20"
"Apr 03, 2017","10,325.30"
"Mar 31, 2017","10,462.90"
"Mar 30, 2017","10,405.90"
"Mar 29, 2017","10,367.60"
"Mar 28, 2017","10,389.00"
"Mar 27, 2017","10,302.90"
"Mar 24, 2017","10,309.40"
"Mar 23, 2017","10,324.90"
"Mar 22, 2017","10,229.30"
"Mar 21, 2017","10,211.90"
"Mar 20, 2017","10,214.00"
"Mar 17, 2017","10,245.80"
"Mar 16, 2017","10,168.00"
"Mar 15, 2017","9,983.20"
"Mar 14, 2017","9,905.10"
"Mar 13, 2017","9,995.90"
"Mar 10, 2017","10,006.40"
"Mar 09, 2017","9,998.40"
"Mar 08, 2017","9,850.50"
"Mar 07, 2017","9,801.70"
"Mar 06, 2017","9,804.10"
"Mar 03, 2017","9,798.50"
"Mar 02, 2017","9,716.00"
"Mar 01, 2017","9,751.50"
"Feb 28, 2017","9,555.50"
"Feb 27, 2017","9,464.30"
"Feb 24, 2017","9,453.50"
"Feb 23, 2017","9,493.40"
"Feb 22, 2017","9,477.20"
"Feb 21, 2017","9,561.00"
"Feb 20, 2017","9,526.60"
"Feb 17, 2017","9,500.30"
"Feb 16, 2017","9,554.70"
"Feb 15, 2017","9,584.10"
"Feb 14, 2017","9,510.20"
"Feb 13, 2017","9,484.10"
"Feb 10, 2017","9,378.10"
"Feb 09, 2017","9,438.40"
"Feb 08, 2017","9,329.70"
"Feb 07, 2017","9,331.50"
"Feb 06, 2017","9,357.30"
"Feb 03, 2017","9,462.70"
"Feb 02, 2017","9,406.40"
"Feb 01, 2017","9,330.80"
"Jan 31, 2017","9,315.20"
"Jan 30, 2017","9,361.30"
"Jan 27, 2017","9,504.10"
"Jan 26, 2017","9,512.80"
"Jan 25, 2017","9,549.30"
"Jan 24, 2017","9,387.20"
"Jan 23, 2017","9,304.80"
"Jan 20, 2017","9,380.10"
"Jan 19, 2017","9,379.10"
"Jan 18, 2017","9,386.20"
"Jan 17, 2017","9,394.90"
"Jan 16, 2017","9,410.00"
"Jan 13, 2017","9,511.60"
"Jan 12, 2017","9,407.40"
"Jan 11, 2017","9,408.60"
"Jan 10, 2017","9,452.00"
"Jan 09, 2017","9,492.80"
"Jan 06, 2017","9,515.90"
"Jan 05, 2017","9,488.20"
"Jan 04, 2017","9,462.90"
"Jan 03, 2017","9,494.70"
"Jan 02, 2017","9,418.70"
"Dec 30, 2016","9,352.10"
"Dec 29, 2016","9,327.10"
"Dec 28, 2016","9,344.90"
"Dec 27, 2016","9,376.60"
"Dec 23, 2016","9,367.70"
"Dec 22, 2016","9,333.60"
"Dec 21, 2016","9,371.70"
"Dec 20, 2016","9,407.90"
"Dec 19, 2016","9,336.70"
"Dec 16, 2016","9,412.80"
"Dec 15, 2016","9,340.80"
"Dec 14, 2016","9,218.40"
"Dec 13, 2016","9,331.30"
"Dec 12, 2016","9,186.40"
"Dec 09, 2016","9,169.60"
"Dec 08, 2016","9,145.40"
"Dec 07, 2016","8,960.40"
"Dec 06, 2016","8,893.30"
"Dec 05, 2016","8,664.70"
"Dec 02, 2016","8,607.10"
"Dec 01, 2016","8,669.20"
"Nov 30, 2016","8,688.20"
"Nov 29, 2016","8,667.00"
"Nov 28, 2016","8,619.30"
"Nov 25, 2016","8,674.40"
"Nov 24, 2016","8,657.20"
"Nov 23, 2016","8,627.50"
"Nov 22, 2016","8,651.50"
"Nov 21, 2016","8,614.60"
"Nov 18, 2016","8,622.90"
"Nov 17, 2016","8,718.00"
"Nov 16, 2016","8,638.50"
"Nov 15, 2016","8,687.10"
"Nov 14, 2016","8,658.20"
"Nov 11, 2016","8,639.20"
"Nov 10, 2016","8,756.80"
"Nov 09, 2016","8,901.50"
"Nov 08, 2016","8,937.00"
"Nov 07, 2016","8,918.80"
"Nov 04, 2016","8,791.60"
"Nov 03, 2016","8,879.90"
"Nov 02, 2016","8,873.40"
"Nov 01, 2016","9,040.70"
"Oct 31, 2016","9,143.30"
"Oct 28, 2016","9,201.30"
"Oct 27, 2016","9,197.20"
"Oct 26, 2016","9,173.30"
"Oct 25, 2016","9,139.70"
"Oct 24, 2016","9,216.20"
"Oct 21, 2016","9,100.40"
"Oct 20, 2016","9,061.20"
"Oct 19, 2016","8,950.10"
"Oct 18, 2016","8,865.30"
"Oct 17, 2016","8,740.70"
"Oct 14, 2016","8,767.90"
"Oct 13, 2016","8,608.70"
"Oct 12, 2016","8,686.50"
"Oct 11, 2016","8,693.20"
"Oct 10, 2016","8,701.50"
"Oct 07, 2016","8,624.30"
"Oct 06, 2016","8,757.40"
"Oct 05, 2016","8,778.30"
"Oct 04, 2016","8,769.00"
"Oct 03, 2016","8,751.60"
"Sep 30, 2016","8,779.40"
"Sep 29, 2016","8,796.30"
"Sep 28, 2016","8,740.40"
"Sep 27, 2016","8,688.20"
"Sep 26, 2016","8,711.40"
"Sep 23, 2016","8,823.60"
"Sep 22, 2016","8,934.90"
"Sep 21, 2016","8,758.50"
"Sep 20, 2016","8,686.10"
"Sep 19, 2016","8,715.50"
"Sep 16, 2016","8,633.40"
"Sep 15, 2016","8,720.50"
"Sep 14, 2016","8,702.40"
"Sep 13, 2016","8,724.20"
"Sep 12, 2016","8,866.60"
"Sep 09, 2016","9,025.50"
"Sep 08, 2016","9,101.10"
"Sep 07, 2016","9,015.30"
"Sep 06, 2016","8,899.50"
"Sep 05, 2016","8,953.30"
"Sep 02, 2016","8,908.90"
"Sep 01, 2016","8,762.80"
"Aug 31, 2016","8,716.80"
"Aug 30, 2016","8,685.40"
"Aug 29, 2016","8,616.40"
"Aug 26, 2016","8,659.50"
"Aug 25, 2016","8,599.50"
"Aug 24, 2016","8,655.50"
"Aug 23, 2016","8,580.90"
"Aug 22, 2016","8,468.00"
"Aug 19, 2016","8,450.60"
"Aug 18, 2016","8,550.10"
"Aug 17, 2016","8,487.00"
"Aug 16, 2016","8,621.70"
"Aug 15, 2016","8,720.60"
"Aug 12, 2016","8,716.40"
"Aug 11, 2016","8,719.50"
"Aug 10, 2016","8,658.90"
"Aug 09, 2016","8,665.40"
"Aug 08, 2016","8,562.50"
"Aug 05, 2016","8,539.40"
"Aug 04, 2016","8,385.50"
"Aug 03, 2016","8,263.50"
"Aug 02, 2016","8,277.30"
"Aug 01, 2016","8,513.40"
"Jul 29, 2016","8,587.20"
"Jul 28, 2016","8,479.20"
"Jul 27, 2016","8,661.40"
"Jul 26, 2016","8,560.20"
"Jul 25, 2016","8,575.70"
"Jul 22, 2016","8,599.90"
"Jul 21, 2016","8,583.60"
"Jul 20, 2016","8,575.50"
"Jul 19, 2016","8,485.20"
"Jul 18, 2016","8,524.40"
"Jul 15, 2016","8,531.00"
"Jul 14, 2016","8,552.30"
"Jul 13, 2016","8,473.90"
"Jul 12, 2016","8,506.00"
"Jul 11, 2016","8,305.10"
"Jul 08, 2016","8,185.90"
"Jul 07, 2016","8,008.20"
"Jul 06, 2016","7,926.20"
"Jul 05, 2016","8,067.60"
"Jul 04, 2016","8,255.90"
"Jul 01, 2016","8,268.90"
"Jun 30, 2016","8,163.30"
"Jun 29, 2016","8,105.30"
"Jun 28, 2016","7,835.00"
"Jun 27, 2016","7,645.50"
"Jun 24, 2016","7,787.70"
"Jun 23, 2016","8,885.30"
"Jun 22, 2016","8,702.00"
"Jun 21, 2016","8,667.30"
"Jun 20, 2016","8,647.10"
"Jun 17, 2016","8,362.00"
"Jun 16, 2016","8,199.90"
"Jun 15, 2016","8,250.80"
"Jun 14, 2016","8,126.70"
"Jun 13, 2016","8,303.80"
"Jun 10, 2016","8,490.50"
"Jun 09, 2016","8,769.50"
"Jun 08, 2016","8,831.40"
"Jun 07, 2016","8,894.50"
"Jun 06, 2016","8,823.50"
"Jun 03, 2016","8,801.60"
"Jun 02, 2016","8,957.90"
"Jun 01, 2016","8,916.90"
"May 31, 2016","9,034.00"
"May 30, 2016","9,116.90"
"May 27, 2016","9,107.30"
"May 26, 2016","9,079.20"
"May 25, 2016","9,125.00"
"May 24, 2016","8,918.10"
"May 23, 2016","8,714.00"
"May 20, 2016","8,771.20"
"May 19, 2016","8,674.70"
"May 18, 2016","8,775.10"
"May 17, 2016","8,698.70"
"May 16, 2016","8,682.10"
"May 13, 2016","8,721.50"
"May 12, 2016","8,663.10"
"May 11, 2016","8,663.90"
"May 10, 2016","8,775.20"
"May 09, 2016","8,660.80"
"May 06, 2016","8,702.10"
"May 05, 2016","8,689.40"
"May 04, 2016","8,654.30"
"May 03, 2016","8,764.90"
"May 02, 2016","9,022.10"
"Apr 29, 2016","9,025.70"
"Apr 28, 2016","9,269.00"
"Apr 27, 2016","9,332.60"
"Apr 26, 2016","9,283.00"
"Apr 25, 2016","9,140.00"
"Apr 22, 2016","9,232.80"
"Apr 21, 2016","9,197.20"
"Apr 20, 2016","9,147.20"
"Apr 19, 2016","8,971.30"
"Apr 18, 2016","8,881.60"
"Apr 15, 2016","8,850.90"
"Apr 14, 2016","8,861.50"
"Apr 13, 2016","8,820.70"
"Apr 12, 2016","8,546.30"
"Apr 11, 2016","8,497.60"
"Apr 08, 2016","8,427.60"
"Apr 07, 2016","8,292.90"
"Apr 06, 2016","8,398.60"
"Apr 05, 2016","8,387.70"
"Apr 04, 2016","8,597.50"
"Apr 01, 2016","8,602.30"
